train_loss,train_acc,val_loss,val_acc,test_acc,test_loss,epoch
0.9791,0.9857,1.0934,0.7920,0.8060,1.0737,099
0.9988,0.9857,1.0880,0.7940,0.8100,1.0686,100
0.9329,0.9857,1.0830,0.7980,0.8040,1.0633,101
0.9976,0.9857,1.0809,0.7980,0.7970,1.0603,102
0.8818,0.9857,1.0817,0.7960,0.7940,1.0601,103
0.9565,0.9786,1.0810,0.7960,0.7910,1.0588,104
0.9839,0.9786,1.0772,0.7940,0.7940,1.0548,105
0.9420,0.9857,1.0710,0.7940,0.8010,1.0487,106
0.8959,0.9857,1.0662,0.7920,0.8120,1.0440,107
0.9709,0.9857,1.0638,0.7960,0.8130,1.0414,108
1.0108,0.9857,1.0618,0.7960,0.8100,1.0393,109
0.9389,0.9857,1.0551,0.7960,0.8060,1.0326,110
0.8644,0.9857,1.0452,0.7960,0.8130,1.0229,111
0.9019,0.9857,1.0353,0.7960,0.8150,1.0131,112
0.8814,0.9857,1.0274,0.7980,0.8150,1.0050,113
0.9014,0.9857,1.0256,0.7960,0.8110,1.0022,114
0.9291,0.9857,1.0288,0.7980,0.8120,1.0040,115
0.9726,0.9857,1.0330,0.7940,0.8120,1.0072,116
0.8372,0.9857,1.0355,0.7920,0.8110,1.0092,117
0.8968,0.9857,1.0385,0.7860,0.8070,1.0121,118
0.8533,0.9857,1.0411,0.7920,0.7990,1.0149,119
0.9057,0.9929,1.0393,0.7900,0.7990,1.0140,120
0.9650,0.9929,1.0348,0.7920,0.8070,1.0105,121
0.9337,0.9857,1.0245,0.7980,0.8060,1.0015,122
0.8946,0.9929,1.0123,0.7980,0.8110,0.9903,123
0.7672,0.9929,1.0014,0.8020,0.8160,0.9794,124
0.9156,0.9929,0.9940,0.8060,0.8180,0.9716,125
0.9400,0.9929,0.9941,0.8060,0.8180,0.9710,126
0.8684,0.9929,0.9957,0.7980,0.8200,0.9713,127
0.8752,0.9929,0.9968,0.7900,0.8100,0.9706,128
0.9256,0.9929,0.9973,0.7940,0.8100,0.9701,129
0.9434,0.9857,0.9977,0.7920,0.8100,0.9699,130
0.8409,0.9857,1.0023,0.7840,0.8080,0.9741,131
0.8682,0.9857,1.0058,0.7820,0.8030,0.9775,132
0.8309,0.9786,1.0058,0.7780,0.8040,0.9777,133
0.8953,0.9786,1.0039,0.7780,0.8010,0.9763,134
0.8683,0.9857,1.0003,0.7840,0.8010,0.9729,135
0.8717,0.9857,0.9929,0.7840,0.8030,0.9661,136
0.8870,0.9929,0.9864,0.7900,0.8120,0.9604,137
0.7945,0.9929,0.9861,0.7980,0.8110,0.9605,138
0.8903,0.9929,0.9885,0.7980,0.8110,0.9631,139
0.8026,0.9929,0.9880,0.7980,0.8120,0.9630,140
0.8195,0.9929,0.9822,0.8020,0.8130,0.9577,141
0.7960,0.9929,0.9743,0.8020,0.8140,0.9503,142
0.8243,0.9929,0.9660,0.8040,0.8160,0.9426,143
0.8299,0.9929,0.9603,0.8080,0.8170,0.9372,144
0.8838,0.9929,0.9580,0.8080,0.8210,0.9350,145
0.8319,0.9929,0.9546,0.8040,0.8230,0.9315,146
0.8684,0.9929,0.9485,0.8040,0.8230,0.9256,147
0.9142,0.9929,0.9443,0.8000,0.8230,0.9216,148
0.7564,0.9929,0.9448,0.7980,0.8200,0.9216,149
0.7321,0.9857,0.9498,0.8000,0.8110,0.9257,150
0.8697,0.9857,0.9546,0.7940,0.8080,0.9297,151
0.8127,0.9857,0.9563,0.7880,0.8090,0.9310,152
0.8359,0.9857,0.9579,0.7880,0.8050,0.9325,153
0.8284,0.9929,0.9546,0.7920,0.8080,0.9297,154
0.8547,0.9929,0.9507,0.8020,0.8150,0.9268,155
0.8666,0.9929,0.9498,0.8000,0.8180,0.9267,156
0.8405,0.9929,0.9477,0.8020,0.8200,0.9249,157
0.7835,0.9929,0.9463,0.8000,0.8160,0.9233,158
0.7945,0.9929,0.9462,0.8000,0.8130,0.9230,159
0.7686,0.9929,0.9469,0.7980,0.8100,0.9234,160
0.8279,0.9929,0.9481,0.7920,0.8110,0.9241,161
0.8741,0.9929,0.9508,0.7920,0.8040,0.9261,162
0.8184,0.9929,0.9561,0.7880,0.7930,0.9303,163
0.8880,0.9929,0.9608,0.7900,0.7890,0.9337,164
0.8655,0.9929,0.9616,0.7860,0.7880,0.9335,165
0.7902,0.9929,0.9591,0.7860,0.7890,0.9306,166
0.7391,0.9929,0.9517,0.7880,0.7980,0.9238,167
0.7688,0.9929,0.9422,0.8020,0.8070,0.9155,168
0.8376,0.9929,0.9331,0.8000,0.8190,0.9076,169
0.7908,0.9929,0.9292,0.8000,0.8200,0.9044,170
0.8367,0.9929,0.9316,0.8000,0.8150,0.9070,171
0.8368,0.9929,0.9353,0.8020,0.8120,0.9104,172
0.8071,0.9929,0.9378,0.8040,0.8110,0.9122,173
0.8168,0.9929,0.9395,0.8000,0.8070,0.9131,174
0.7414,0.9857,0.9423,0.7880,0.7980,0.9151,175
0.9301,0.9857,0.9489,0.7800,0.7930,0.9204,176
0.8387,0.9857,0.9564,0.7760,0.7900,0.9266,177
0.8538,0.9857,0.9565,0.7780,0.7930,0.9263,178
0.8419,0.9857,0.9453,0.7840,0.7950,0.9158,179
0.7541,0.9857,0.9306,0.7960,0.8150,0.9023,180
0.8778,0.9929,0.9225,0.8040,0.8250,0.8944,181
0.7302,0.9929,0.9187,0.8020,0.8260,0.8905,182
0.7672,0.9929,0.9141,0.8020,0.8290,0.8860,183
0.8021,0.9929,0.9090,0.8040,0.8270,0.8812,184
0.8088,0.9929,0.9058,0.8060,0.8290,0.8779,185
0.8034,0.9929,0.9034,0.8080,0.8230,0.8757,186
0.7375,0.9929,0.9043,0.8040,0.8230,0.8766,187
0.8218,0.9929,0.9084,0.7980,0.8170,0.8808,188
0.8052,0.9929,0.9073,0.8000,0.8120,0.8800,189
0.8667,0.9857,0.9031,0.7960,0.8160,0.8762,190
0.9515,0.9857,0.9019,0.7920,0.8150,0.8748,191
0.7968,0.9857,0.8990,0.7980,0.8220,0.8719,192
0.7292,0.9929,0.8965,0.8040,0.8230,0.8696,193
0.7590,0.9929,0.8980,0.7980,0.8230,0.8706,194
0.8022,0.9929,0.9038,0.7980,0.8190,0.8754,195
0.7351,0.9929,0.9107,0.8000,0.8170,0.8814,196
0.7266,0.9929,0.9195,0.7940,0.8110,0.8894,197
0.8287,0.9929,0.9256,0.7920,0.8030,0.8952,198
0.7878,0.9929,0.9253,0.7920,0.8030,0.8953,199
0.8726,0.9929,0.9224,0.7920,0.8110,0.8928,200
