Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
099,0.9515,0.2136,0.9524,0.9519,0.4179,0.1925
100,0.9533,0.2749,0.9524,0.9553,0.2420,0.1957
101,0.9515,0.2168,0.9524,0.9543,0.1879,0.1892
102,0.9478,0.1957,0.9524,0.9490,0.1902,0.1768
103,0.9515,0.1910,0.9524,0.9530,0.1869,0.1783
104,0.9515,0.1877,0.9524,0.9532,0.1922,0.1819
105,0.9487,0.1962,0.9524,0.9498,0.2359,0.1767
106,0.9469,0.2150,0.9505,0.9469,0.1981,0.1747
107,0.9423,0.2103,0.9469,0.9454,0.1918,0.1762
108,0.9469,0.1941,0.9505,0.9469,0.1909,0.1746
109,0.9496,0.1882,0.9524,0.9514,0.1828,0.1753
110,0.9478,0.1895,0.9524,0.9496,0.1844,0.1777
111,0.9515,0.1891,0.9524,0.9535,0.2396,0.1922
112,0.9505,0.2219,0.9524,0.9514,0.3560,0.1929
113,0.9295,0.2575,0.9451,0.9284,0.1971,0.1857
114,0.9341,0.1974,0.9487,0.9404,0.2128,0.1867
115,0.9515,0.2108,0.9524,0.9532,0.1816,0.1806
116,0.9515,0.1882,0.9524,0.9519,0.1820,0.1768
117,0.9487,0.1881,0.9524,0.9498,0.1821,0.1768
118,0.9515,0.1887,0.9524,0.9530,0.1886,0.1808
119,0.9478,0.1924,0.9524,0.9498,0.2166,0.1763
120,0.9478,0.2176,0.9524,0.9493,0.3112,0.1776
121,0.9423,0.2745,0.9505,0.9449,0.2739,0.1776
122,0.9359,0.2261,0.9505,0.9417,0.2743,0.1915
123,0.9515,0.2243,0.9524,0.9543,0.4523,0.2183
124,0.9084,0.2947,0.9322,0.9075,0.2358,0.2273
125,0.9505,0.2117,0.9524,0.9524,0.1826,0.1830
126,0.9487,0.1903,0.9524,0.9509,0.1856,0.1740
127,0.9487,0.1962,0.9524,0.9509,0.1943,0.1783
128,0.9478,0.2000,0.9524,0.9493,0.1901,0.1779
129,0.9478,0.1948,0.9524,0.9490,0.1871,0.1763
130,0.9478,0.1902,0.9524,0.9498,0.2086,0.1809
131,0.9515,0.1986,0.9524,0.9535,0.1939,0.1829
132,0.9505,0.1993,0.9524,0.9511,0.2202,0.1797
133,0.9515,0.2106,0.9524,0.9543,0.2137,0.1834
134,0.9515,0.1986,0.9524,0.9530,0.1931,0.1804
135,0.9505,0.1981,0.9524,0.9514,0.2165,0.1767
136,0.9469,0.2105,0.9505,0.9464,0.2059,0.1743
137,0.9377,0.2085,0.9469,0.9404,0.1816,0.1818
138,0.9478,0.1851,0.9524,0.9493,0.2017,0.1782
139,0.9515,0.1938,0.9524,0.9530,0.1826,0.1783
140,0.9487,0.1867,0.9524,0.9506,0.2763,0.1822
141,0.9515,0.2261,0.9524,0.9540,0.2516,0.1834
142,0.9524,0.2087,0.9524,0.9548,0.1844,0.1935
143,0.9478,0.1874,0.9524,0.9496,0.1844,0.1759
144,0.9515,0.1858,0.9524,0.9519,0.1812,0.1766
145,0.9478,0.1854,0.9524,0.9501,0.1815,0.1752
146,0.9515,0.1881,0.9524,0.9511,0.2052,0.1764
147,0.9478,0.2031,0.9524,0.9485,0.2877,0.1745
148,0.9478,0.2495,0.9524,0.9477,0.2435,0.1758
