Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
099,1.0000,0.0374,0.8710,0.8281,0.4763,0.4830
100,1.0000,0.0373,0.8710,0.8190,0.4681,0.4918
101,1.0000,0.0376,0.8710,0.8235,0.4812,0.4829
102,1.0000,0.0381,0.8710,0.8190,0.4649,0.4954
103,1.0000,0.0401,0.8710,0.8235,0.4957,0.4813
104,1.0000,0.0447,0.8387,0.8190,0.4599,0.5024
105,1.0000,0.0611,0.8710,0.8326,0.5807,0.4788
106,1.0000,0.1329,0.8710,0.8235,0.6840,0.4878
107,1.0000,0.9018,0.8710,0.8281,1.7875,0.4852
108,0.5806,2.3967,0.4194,0.5023,2.0656,3.2879
109,0.6290,1.1007,0.4516,0.5747,0.7586,1.3880
110,1.0000,0.2664,0.7742,0.7964,0.4890,0.5323
111,0.8871,0.3496,0.7097,0.7149,0.5377,0.5350
112,0.8387,0.4120,0.6774,0.6833,0.5249,0.5508
113,0.9516,0.3313,0.7742,0.7964,0.4654,0.5020
114,1.0000,0.1864,0.7742,0.7692,0.5537,0.5519
115,1.0000,0.1487,0.7742,0.7964,0.4618,0.5020
116,0.9839,0.1512,0.7742,0.8190,0.4526,0.4607
117,1.0000,0.0861,0.8387,0.8281,0.5035,0.4652
118,1.0000,0.0764,0.7742,0.7919,0.5269,0.5329
119,1.0000,0.0584,0.8387,0.8145,0.4928,0.4884
120,1.0000,0.0560,0.8065,0.8145,0.4868,0.4661
121,1.0000,0.0507,0.8387,0.8235,0.5028,0.4785
122,1.0000,0.0490,0.8387,0.8100,0.5085,0.5037
123,1.0000,0.0472,0.8387,0.8145,0.4895,0.4862
124,1.0000,0.0465,0.8387,0.8235,0.4805,0.4673
125,1.0000,0.0461,0.8387,0.8235,0.4843,0.4676
126,1.0000,0.0456,0.8387,0.8235,0.4869,0.4756
127,1.0000,0.0454,0.8387,0.8281,0.4795,0.4716
128,1.0000,0.0451,0.8387,0.8235,0.4740,0.4633
129,1.0000,0.0449,0.8387,0.8235,0.4753,0.4638
130,1.0000,0.0445,0.8387,0.8281,0.4760,0.4684
131,1.0000,0.0442,0.8387,0.8281,0.4729,0.4672
132,1.0000,0.0441,0.8387,0.8281,0.4717,0.4645
133,1.0000,0.0439,0.8387,0.8281,0.4728,0.4657
134,1.0000,0.0437,0.8387,0.8281,0.4719,0.4660
135,1.0000,0.0435,0.8710,0.8235,0.4709,0.4640
136,1.0000,0.0433,0.8710,0.8235,0.4716,0.4642
137,1.0000,0.0430,0.8710,0.8190,0.4714,0.4652
138,1.0000,0.0427,0.8710,0.8190,0.4711,0.4645
139,1.0000,0.0423,0.8710,0.8190,0.4715,0.4650
140,1.0000,0.0419,0.8710,0.8190,0.4713,0.4654
141,1.0000,0.0415,0.8710,0.8190,0.4717,0.4652
142,1.0000,0.0411,0.8710,0.8190,0.4715,0.4658
143,1.0000,0.0407,0.8710,0.8190,0.4723,0.4656
144,1.0000,0.0403,0.8710,0.8190,0.4716,0.4664
145,1.0000,0.0399,0.8710,0.8190,0.4734,0.4660
146,1.0000,0.0395,0.8710,0.8190,0.4709,0.4672
147,1.0000,0.0393,0.8710,0.8190,0.4762,0.4657
148,1.0000,0.0391,0.8710,0.8190,0.4691,0.4692
149,1.0000,0.0393,0.8710,0.8326,0.4778,0.4622
150,1.0000,0.0391,0.8710,0.8190,0.4718,0.4748
151,1.0000,0.0386,0.8710,0.8326,0.4728,0.4607
152,1.0000,0.0376,0.8710,0.8190,0.4767,0.4716
153,1.0000,0.0373,0.8710,0.8190,0.4716,0.4674
154,1.0000,0.0372,0.8710,0.8235,0.4770,0.4661
155,1.0000,0.0369,0.8710,0.8190,0.4733,0.4723
156,1.0000,0.0367,0.8710,0.8281,0.4761,0.4656
157,1.0000,0.0363,0.8710,0.8190,0.4749,0.4723
158,1.0000,0.0361,0.8710,0.8281,0.4755,0.4671
159,1.0000,0.0358,0.8710,0.8190,0.4757,0.4708
160,1.0000,0.0356,0.8710,0.8235,0.4760,0.4690
161,1.0000,0.0354,0.8710,0.8190,0.4759,0.4705
162,1.0000,0.0352,0.8710,0.8235,0.4765,0.4699
163,1.0000,0.0351,0.8710,0.8190,0.4757,0.4707
164,1.0000,0.0349,0.8710,0.8235,0.4779,0.4703
165,1.0000,0.0348,0.8710,0.8190,0.4744,0.4716
166,1.0000,0.0348,0.8710,0.8281,0.4811,0.4698
167,1.0000,0.0349,0.8710,0.8190,0.4706,0.4735
168,1.0000,0.0360,0.8710,0.8281,0.4889,0.4666
169,1.0000,0.0375,0.8710,0.8190,0.4677,0.4817
170,1.0000,0.0405,0.8710,0.8326,0.4900,0.4583
171,1.0000,0.0403,0.8387,0.8190,0.4742,0.4950
172,1.0000,0.0372,0.8710,0.8326,0.4734,0.4557
173,1.0000,0.0332,0.8710,0.8190,0.4884,0.4804
174,1.0000,0.0331,0.8710,0.8235,0.4729,0.4747
175,1.0000,0.0338,0.8710,0.8235,0.4807,0.4650
176,1.0000,0.0330,0.8710,0.8190,0.4807,0.4832
177,1.0000,0.0324,0.8710,0.8281,0.4759,0.4704
178,1.0000,0.0324,0.8710,0.8281,0.4823,0.4745
179,1.0000,0.0326,0.8710,0.8235,0.4772,0.4778
180,1.0000,0.0328,0.8710,0.8281,0.4804,0.4712
181,1.0000,0.0327,0.8710,0.8190,0.4787,0.4780
182,1.0000,0.0327,0.8710,0.8281,0.4787,0.4720
183,1.0000,0.0327,0.8710,0.8235,0.4787,0.4756
184,1.0000,0.0327,0.8710,0.8281,0.4779,0.4734
185,1.0000,0.0327,0.8710,0.8281,0.4786,0.4741
186,1.0000,0.0327,0.8710,0.8281,0.4777,0.4742
