num_heads,test_acc,test_f1
8,78.73303167,80
7,71.04072398,61.9047619
6,78.28054299,79.66101695
5,,80.09049774,80
4,,84.61538462,84.11214953
3,,81.90045249,83.33333333
2,,82.35294118,83.68200837
1,87.33031674,87.93103448
